Brand,Flavour,Name,CurrentStock,DefaultStock,CostPrice
BENSON & HEDGES,ori,BENSON & HEDGES ori,7,20,17.267
CHESTERFIELD,Blue,CHESTERFIELD Blue,0,20,11.9
CHESTERFIELD,Charcoal,CHESTERFIELD Charcoal,0,20,11.9
CHESTERFIELD,Menthol,CHESTERFIELD Menthol,0,20,11.9
CHESTERFIELD,Red,CHESTERFIELD Red,0,20,11.9
CHESTERFIELD,Remix Purple,CHESTERFIELD Remix Purple,0,20,11.9
DUNHILL,Blue,DUNHILL Blue,0,20,17.067
DUNHILL,Boost,DUNHILL Boost,0,20,17.067
DUNHILL,Classic,DUNHILL Classic,0,20,17.067
DUNHILL,Menthol,DUNHILL Menthol,0,20,17.067
DUNHILL,Mix,DUNHILL Mix,0,20,17.067
DUNHILL,Red,DUNHILL Red,0,20,17.067
DUNHILL,Switch,DUNHILL Switch,0,20,17.067
DUNHILL,Zest,DUNHILL Zest,0,20,17.067
LD,Ice,LD Ice,0,20,11.91
LD,Lite,LD Lite,0,20,11.93
LD,Menthol,LD Menthol,0,20,11.91
LD,Purple,LD Purple,0,20,11.91
LD,Red,LD Red,0,20,11.93
LD,Red 100,LD Red 100,0,20,11.93
MARLBORO,Black Menthol,MARLBORO Black Menthol,0,20,16.801
MARLBORO,Double Burst,MARLBORO Double Burst,0,20,16.801
MARLBORO,Gold,MARLBORO Gold,0,20,16.801
MARLBORO,Ice Blast,MARLBORO Ice Blast,0,20,16.801
MARLBORO,Menthol,MARLBORO Menthol,0,20,16.801
MARLBORO,Red,MARLBORO Red,0,20,16.801
MARLBORO,Summer Splash,MARLBORO Summer Splash,0,20,16.801
MARLBORO,Tropical splash,MARLBORO Tropical splash,0,20,16.801
MEVIUS,Double Ice,MEVIUS Double Ice,0,20,17.08
MEVIUS,Kiwami,MEVIUS Kiwami,0,20,17.08
MEVIUS,Menthol,MEVIUS Menthol,0,20,17.08
MEVIUS,Menthol Less Lite,MEVIUS Menthol Less Lite,0,20,17.08
MEVIUS,Orange,MEVIUS Orange,0,20,17.08
MEVIUS,Original,MEVIUS Original,0,20,17.15
MEVIUS,Purple,MEVIUS Purple,0,20,17.08
MEVIUS,Sky Blue,MEVIUS Sky Blue,0,20,17.15
MEVIUS,Wind Blue,MEVIUS Wind Blue,0,20,17.08
PETER STUYVESANT,Lite,PETER STUYVESANT Lite,0,20,15.703
PETER STUYVESANT,Red,PETER STUYVESANT Red,0,20,15.703
PETER STUYVESANT,Remix Purple,PETER STUYVESANT Remix Purple,0,20,15.703
ROTHMANS,Charchol Filter,ROTHMANS Charchol Filter,0,20,11.998
ROTHMANS,Ice,ROTHMANS Ice,0,20,11.998
ROTHMANS,Lite,ROTHMANS Lite,0,20,11.998
ROTHMANS,Menthol,ROTHMANS Menthol,0,20,11.998
ROTHMANS,Purple,ROTHMANS Purple,0,20,11.998
ROTHMANS,Red,ROTHMANS Red,0,20,11.998
SAMPOERNA,Menthol,SAMPOERNA Menthol,0,20,15.441
SAMPOERNA,Red,SAMPOERNA Red,0,20,15.441
WINSTON,Lite,WINSTON Lite,0,20,15.52
WINSTON,Purple,WINSTON Purple,0,20,15.45
WINSTON,Red,WINSTON Red,0,20,15.52
